,NBMACT_WAX,NBMCON_NBMACT,NBMCON_NBMFUS,NBMCON_WAX,NBMFUS_NBMACT,NBMFUS_WAX,NBMMIN_NBMACT,NBMMIN_NBMCON,NBMMIN_NBMFUS,NBMMIN_WAX
r2t.e.wam,0.0,0.1131,0.1491,0.0798,0.1871,0.0,0.0,0.715,0.0,0.0
rwjb4.wam,0.0,4.7726,2.2093,0.0,1.3961,0.0,0.4271,3.0623,1.3685,0.0
sc3ha.wam,0.0,0.0655,0.0317,0.0,0.0695,0.0,0.1311,0.5078,0.1177,0.0
tuyt.wam,0.0,0.0107,0.0315,0.0,0.0241,0.0,0.0,0.0047,0.1328,0.0
uizem.wam,0.0,0.0388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yyfr2.wam,0.0,0.0118,0.0111,0.0,0.0,0.0,0.0,0.0231,0.0,0.0
pfjr.wam,0.0,0.0034,0.0,0.0,0.0,0.0213,0.0,0.0,0.0,0.0
rp5qy.wam,0.0,0.0002,0.0,0.0047,0.0214,0.0,0.0,0.0,0.0,0.0
xkelly.gm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cmzec.wam,0.0,0.0,0.0135,0.0,0.0995,0.0,0.0,0.0,0.0,0.0
di2e2.wam,0.0,0.0,0.0204,0.0,0.0948,0.0,0.371,1.0552,0.4485,0.0
innsc.wam,0.0,0.0,0.0149,0.0,0.0137,0.0,0.0067,0.0153,0.0,0.0
jbdds.wam,0.0,0.0,0.0557,0.0,0.0541,0.0,0.0834,0.2854,0.3352,0.0
mucu4.wam,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0198,0.0,0.0
qwnem.wam,0.0,0.0,0.0568,1.3115,0.0,0.8692,0.0,0.0,0.0509,1.6834
yadonor12wax,0.0,0.0,0.1218,0.0,0.0,0.0,0.0,3.96,0.0,0.0
ztvf.wam,0.0,0.0,0.016,0.1865,0.0126,0.0,0.0017,0.025,0.0216,0.0145
ir.v4.wam,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
.bzb4.wam,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0
.vq4s.c.wam,0.0,0.0,0.0,0.0094,0.0,0.0,0.0,0.0,0.0,0.0
1emcy.wam,0.0,0.0,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0456
aklqy.wam,0.0,0.0,0.0,0.0171,0.0,0.0,0.0,0.0,0.0,0.0
b3dms.c.wam,0.0,0.0,0.0,0.5024,3.3756,0.0,0.2187,0.104,0.0,0.0
bulletmagnet,0.0,0.0,0.0,2.8505,0.0,0.0,0.0,0.0,0.0,0.0
cvcb.wam,0.0,0.0,0.0,1.1518,0.0,0.0,0.0,0.0,0.0,0.0
f4uqq.wam,0.0,0.0,0.0,0.0685,0.0,0.0,0.0,0.0,0.0,0.0
hg1ha.wam,0.0,0.0,0.0,0.0082,0.0,0.0302,0.0,0.0,0.0,0.0
ikqba.wam,0.0,0.0,0.0,0.006,0.0,0.5993,0.0,0.0,0.0,0.0295
jaozinmendes,0.0,0.0,0.0,0.0164,0.0,0.0,0.0,0.0,0.0,0.0
jdymq.wam,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0
jizrc.wam,0.0,0.0,0.0,0.0038,0.0,0.0014,0.0,0.0,0.0,0.0
jr4qk.c.wam,0.0,0.0,0.0,0.4218,0.0,0.0,0.0,0.0,0.0,0.0
kmjw2.wam,0.0,0.0,0.0,0.0019,0.0,0.0001,0.0,0.0,0.0,0.0
l.cb4.wam,0.0,0.0,0.0,0.9256,0.1176,0.7504,0.0,0.0,0.0,0.0
lsrjg.wam,0.0,0.0,0.0,0.0285,0.0,0.0,0.0,0.0,0.0,0.0
lzshe.wam,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
mhrb2.wam,0.0,0.0,0.0,0.4943,0.0,0.1226,0.0,0.0,0.0,0.667
